#QAOA, n=3, p=0.1,0.33,0.66,0.99
avg_opt_gaps:[0.3302222222222221, 0.11233333333333463, 0.344111111111113, 0.25544444444444836, 0.5337777777777771, 0.22333333333333696, 0.24855555555555922, 0.36533333333333495, 0.30777777777778004, 0.3465555555555566]
avg_opt_gaps:[0.434222222222223, 0.709000000000003, 0.5457777777777785, 0.380333333333334, 0.31488888888889066, 0.2686666666666701, 0.46477777777777796, 0.24611111111111547, 0.2865555555555581, 0.2284444444444484]
avg_opt_gaps:[0.45333333333333414, 0.4951111111111115, 0.3541111111111123, 0.19488888888889222, 0.5007777777777773, 0.3678888888888903, 0.43977777777778543, 0.2354444444444482, 0.6540000000000006, 0.23377777777778155]
avg_opt_gaps:[0.27877777777778046, 0.382222222222223, 0.4538888888888892, 0.47488888888888936, 0.321444444444447, 0.2213333333333372, 0.2742222222222253, 0.542111111111111, 0.2990000000000024, 0.23066666666667057]
#QAOAz, n=3, p=0.1,0.33,0.66,0.99
avg_opt_gaps:[0.4362222222222306, 0.03199999999999992, 0.4300000000000082, 0.05399999999999985, 0.028222222222222156, 0.019111111111111075, 0.019777777777777738, 0.4406666666666751, 0.43688888888889726, 0.4253333333333414]
avg_opt_gaps:[0.2100000000000034, 0.438666666666675, 0.2051111111111148, 0.02266666666666662, 0.45222222222223074, 0.44844444444445275, 0.020444444444444404, 0.09555555555555596, 0.020666666666666625, 0.016444444444444418]
avg_opt_gaps:[0.4453333333333419, 0.26022222222222696, 0.43088888888889715, 0.5326666666666744, 0.42155555555556357, 0.006000000000000002, 0.02311111111111106, 0.4431111111111195, 0.42377777777778586, 0.04799999999999986]
avg_opt_gaps:[0.4471111111111192, 0.651333333333332, 0.400444444444452, 0.44288888888889744, 0.4166666666666745, 0.02577777777777772, 0.4335555555555639, 0.4282222222222304, 0.031777777777777697, 0.014888888888888866]
#GED-QAOA, n=3, p=0.1,0.33,0.66,0.99
avg_opt_gaps:[0.04777777777777764, 0.022444444444444395, 0.008888888888888887, 0.03444444444444436, 0.4362222222222306, 0.014666666666666646, 0.022222222222222174, 0.011111111111111101, 0.030222222222222147, 0.45266666666667527]
avg_opt_gaps:[0.009777777777777772, 0.42511111111111927, 0.12866666666666782, 0.4526666666666753, 0.44066666666667503, 0.02133333333333329, 0.4420000000000083, 0.013999999999999981, 0.04066666666666656, 0.008444444444444445]
avg_opt_gaps:[0.43000000000000826, 0.02933333333333326, 0.4417777777777863, 0.01088888888888888, 0.0788888888888891, 0.01066666666666666, 0.28866666666667024, 0.4371111111111195, 0.4448888888888972, 0.05866666666666649]
avg_opt_gaps:[0.4546666666666752, 0.44688888888889733, 0.43622222222223045, 0.04377777777777766, 0.42933333333334117, 0.06844444444444436, 0.42577777777778575, 0.08022222222222244, 0.0442222222222221, 0.0068888888888888914]

#QAOA, n=4, p=0.1,0.33,0.66,0.99
avg_opt_gaps:[0.137875, 0.3596875, 0.2516875, 0.1256875, 0.417125, 0.256375, 0.187125, 0.258875, 0.2493125, 0.2478125]
avg_opt_gaps:[0.250375, 0.457125, 0.25025, 0.3695, 0.2555625, 0.3753125, 0.25, 0.1545, 0.390625, 0.4403125]
avg_opt_gaps:[0.3659375, 0.2444375, 0.3744375, 0.322875, 0.3401875, 0.557875, 0.4463125, 0.429125, 0.374875, 0.243]
avg_opt_gaps:[0.2538125, 0.4035, 0.563875, 0.252375, 0.3726875, 0.25125, 0.441875, 0.48775, 0.3645, 0.2503125]

#QAOAz, n=4, p=0.1,0.33,0.66,0.99
avg_opt_gaps:[0.049625, 0.239375, 0.251625, 0.141875, 0.017875, 0.359, 0.013875, 0.25075, 0.128, 0.016375]
avg_opt_gaps:[0.009375, 0.248625, 0.1405, 0.24775, 0.255, 0.37225, 0.2545, 0.371125, 0.246875, 0.1365]
avg_opt_gaps:[0.264, 0.257375, 0.128125, 0.009, 0.3865, 0.46025, 0.256, 0.490875, 0.265, 0.269875]
avg_opt_gaps:[0.365625, 0.49325, 0.463875, 0.24975, 0.37025, 0.022125, 0.35725, 0.495875, 0.2525, 0.49375]
#GED-QAOA, n=4, p=0.1,0.33,0.66,0.99
avg_opt_gaps:[0.05775, 0.376, 0.25225, 0.005625, 0.24275, 0.262375, 0.0075, 0.25675, 0.24675, 0.008375]
avg_opt_gaps:[0.006375, 0.028, 0.258625, 0.264, 0.373875, 0.497, 0.4845, 0.02275, 0.03975, 0.257875]
avg_opt_gaps:[0.24725, 0.008125, 0.24925, 0.01175, 0.44625, 0.24825, 0.0315, 0.377, 0.252375, 0.49825]
avg_opt_gaps:[0.03875, 0.256, 0.266625, 0.248625, 0.375, 0.2565, 0.251125, 0.374125, 0.011875, 0.2535]
